etath,etaiso,triang,coreradius,bt,bscfmax,rmajor,coe,capcost
0.38808,0.79687,0.45066,0.70954,3.8698,0.93706,5.7195,546.73,14642.0
0.38824,0.91046,0.5383,0.72274,3.736,0.90401,5.91,587.36,15787.0
0.38825,0.692,0.55177,0.75568,3.6932,0.96348,6.1338,640.81,17239.0
0.38837,0.87438,0.45696,0.77142,3.9896,0.89603,5.3537,474.66,12646.0
0.38852,0.78643,0.42281,0.76732,3.6273,0.96997,6.3968,706.54,19091.0
0.38863,0.81682,0.45582,0.76263,4.0051,0.94206,5.5614,515.72,13750.0
0.38866,0.92586,0.47698,0.78714,3.9531,0.94984,5.4045,484.01,12906.0
0.38885,0.68748,0.56484,0.73919,3.778,0.89678,5.829,570.29,15289.0
0.38906,0.78373,0.44617,0.72929,3.9908,0.91547,5.4213,487.5,12996.0
0.38925,0.92059,0.50536,0.70128,3.6127,0.98186,6.4172,712.63,19240.0
0.38944,0.86362,0.56247,0.74559,3.7028,0.88428,5.9491,596.16,16031.0
0.38945,0.66104,0.55653,0.78205,4.0825,0.96165,5.1298,435.79,11543.0
0.38945,0.78158,0.57635,0.75102,3.9863,0.91825,5.4625,496.56,13211.0
0.38948,0.76934,0.46147,0.77318,4.0384,0.96559,5.3988,484.04,12880.0
0.3896,0.84563,0.49085,0.71836,3.8637,0.95637,5.6624,534.54,14310.0
0.38966,0.91038,0.59667,0.75327,3.7256,0.89068,5.8679,578.25,15523.0
0.3897,0.85515,0.58556,0.70434,3.6601,0.89613,6.1147,635.39,17107.0
0.38977,0.93984,0.4963,0.77323,3.9706,0.98664,5.4629,495.78,13213.0
0.3898,0.72409,0.50781,0.7965,3.6783,0.97191,6.0989,631.39,17003.0
0.38984,0.94772,0.50393,0.72054,3.8757,0.88573,5.665,535.61,14325.0
0.3899,0.68678,0.59573,0.75856,4.0165,0.88605,5.2841,462.83,12285.0
0.3901,0.93328,0.54783,0.76743,3.8856,0.90764,5.4971,501.42,13392.0
0.39026,0.8751,0.49281,0.79475,3.7956,0.92909,5.7114,544.11,14589.0
0.39028,0.79242,0.41595,0.72663,4.0589,0.95168,5.399,483.7,12872.0
0.39034,0.66389,0.51574,0.7392,3.9749,0.97396,5.4403,491.24,13083.0
0.39037,0.77665,0.4701,0.72351,3.6314,0.98422,6.5012,735.95,19872.0
0.39043,0.94359,0.52303,0.76546,3.7251,0.91175,6.1431,643.39,17303.0
0.39048,0.93868,0.4757,0.71459,3.6431,0.88067,6.1769,649.43,17528.0
0.39068,0.79328,0.45597,0.70943,3.729,0.91817,5.9622,598.53,16114.0
0.39076,0.86026,0.58251,0.74591,4.0769,0.97538,5.1993,448.14,11871.0
0.39078,0.71181,0.49668,0.72368,3.7421,0.98403,5.9544,597.76,16065.0
0.39086,0.76939,0.42388,0.73853,3.6476,0.8944,6.4968,734.56,19839.0
0.3911,0.65971,0.45989,0.78649,4.0105,0.92167,5.2744,459.89,12237.0
0.39116,0.76894,0.5476,0.78326,3.9326,0.91021,5.5638,515.79,13757.0
0.39124,0.90824,0.40192,0.75161,3.9797,0.98645,5.3934,481.28,12839.0
0.39133,0.6688,0.52714,0.78315,3.7103,0.94024,6.0628,623.32,16764.0
0.39133,0.74808,0.54149,0.78171,3.9127,0.89452,5.5991,522.7,13952.0
0.39135,0.68476,0.42505,0.73637,3.893,0.92588,5.7084,544.51,14576.0
0.39155,0.74544,0.56523,0.77286,4.0339,0.90088,5.2501,456.58,12116.0
0.39157,0.76607,0.49947,0.79983,3.6021,0.91609,6.3774,701.48,18944.0
0.39159,0.6697,0.45443,0.70294,4.0838,0.97966,5.3372,472.5,12554.0
0.39171,0.85805,0.50942,0.72611,3.6821,0.96197,6.1689,648.86,17474.0
0.39192,0.87223,0.59653,0.74392,3.9776,0.88999,5.3774,479.73,12753.0
0.39193,0.7729,0.56842,0.72459,3.7001,0.88998,6.0578,622.33,16730.0
0.39212,0.77039,0.45705,0.73297,4.0208,0.98051,5.4644,496.09,13212.0
0.39221,0.81629,0.55452,0.75774,3.6495,0.98597,6.0818,627.06,16885.0
0.39233,0.94731,0.47636,0.72547,3.7451,0.89276,6.119,637.25,17139.0
0.39268,0.82194,0.4645,0.78763,4.0603,0.94841,5.1962,446.52,11855.0
0.3927,0.94842,0.40644,0.71965,3.7915,0.91256,5.917,589.14,15830.0
0.39281,0.7661,0.57134,0.70776,3.9904,0.93548,5.3976,483.5,12857.0
0.39285,0.69217,0.49712,0.75618,3.7729,0.93035,5.941,595.12,15980.0
0.39288,0.94555,0.43148,0.7644,3.9732,0.93211,5.3804,478.93,12769.0
0.3929,0.79889,0.51353,0.72271,3.7298,0.89532,5.9546,597.7,16064.0
0.39301,0.78524,0.51424,0.71447,3.9092,0.91829,5.5633,514.62,13742.0
0.3931,0.80637,0.51018,0.71323,3.9832,0.91666,5.5481,512.64,13662.0
0.39317,0.79248,0.49799,0.77262,4.064,0.89522,5.1765,443.23,11760.0
0.39324,0.66465,0.52495,0.77804,3.696,0.94007,5.9755,602.1,16195.0
0.39327,0.81806,0.58557,0.73741,3.7731,0.88777,5.9378,595.24,15959.0
0.39329,0.68487,0.58525,0.77321,3.6138,0.90872,6.1391,640.84,17266.0
0.39331,0.76907,0.53261,0.76478,3.6451,0.96007,6.2446,667.64,17994.0
0.39344,0.93316,0.42315,0.71459,3.7033,0.95051,6.0623,622.05,16758.0
0.3936,0.87831,0.48831,0.77961,3.985,0.89535,5.5115,505.11,13462.0
0.39361,0.84038,0.53008,0.73565,3.6332,0.92393,6.3598,697.71,18816.0
0.3937,0.74274,0.48849,0.72879,4.0227,0.95249,5.3358,471.6,12542.0
0.39372,0.92986,0.56461,0.7781,4.0254,0.8939,5.3759,479.75,12746.0
0.39391,0.94387,0.46375,0.70567,3.687,0.93483,6.2513,669.49,18043.0
0.39397,0.71526,0.4516,0.76948,3.7052,0.93058,6.1447,642.62,17309.0
0.39405,0.7654,0.55536,0.70053,3.7562,0.91285,5.867,578.02,15516.0
0.39405,0.9343,0.55765,0.75443,3.6201,0.88476,6.128,637.73,17191.0
0.39407,0.68713,0.53514,0.75414,3.9401,0.93659,5.4131,485.38,12935.0
0.39407,0.78853,0.49818,0.71727,3.8058,0.97993,5.7664,555.68,14901.0
0.39424,0.89505,0.58724,0.72684,3.8771,0.95039,5.5793,518.01,13827.0
0.39429,0.87636,0.4546,0.72502,3.7502,0.88657,5.9022,585.26,15734.0
0.39447,0.6586,0.59004,0.72959,3.6922,0.97687,5.9871,605.39,16267.0
0.3945,0.80731,0.49124,0.75176,3.7292,0.91506,5.9648,599.83,16127.0
0.39451,0.89275,0.53107,0.75211,3.6179,0.94105,6.1431,641.11,17293.0
0.39469,0.9196,0.58438,0.77626,4.0245,0.8848,5.302,466.0,12370.0
