major_radius,aspect_ratio,effective_ion_charge,toroidal_field_on_plasma,CAPITAL COST 2021 PRICES [million USD]
3.3003095678850625,1.8899680006700588,2.405332292206702,5.067949795482765,5240.58
3.954719072525241,2.371129617516785,1.561241415742507,4.119476251747305,3151.12
3.954719072525241,2.371129617516785,2.405332292206702,4.119476251747305,3142.44
3.7922515891434405,2.376024782533694,1.279701808705166,5.354787761828977,3989.85
3.7922515891434405,2.376024782533694,1.4938646027823408,5.855432707439146,4321.41
3.7922515891434405,2.2847177468720505,1.4938646027823408,5.354787761828977,4841.3
3.7922515891434405,2.2847177468720505,1.4938646027823408,5.855432707439146,4671.62
3.786336588255921,1.810059446695963,2.369484802210506,4.431428296519261,4692.02
3.786336588255921,1.810059446695963,2.1781589785525206,4.431428296519261,4986.21
3.583385384794161,2.110389134092226,2.324823376524702,5.123756405696474,3784.34
3.9081061328587676,2.3044922953618663,2.324823376524702,5.123756405696474,4237.01
3.9081061328587676,2.3044922953618663,1.3639965899937985,5.123756405696474,4169.59
3.5246226600104236,2.386732873185276,2.0011012341690737,5.7611806112711434,3642.46
3.5246226600104236,2.4139031344486326,1.5850850341868812,5.7611806112711434,4229.54
3.5002788179114366,1.8426910451829788,2.038085591436985,4.984153370054334,4520.86
3.4504774296419085,1.8426910451829788,2.038085591436985,4.984153370054334,5710.17
3.5002788179114366,2.0030350983392213,2.038085591436985,4.984153370054334,5666.2
3.5002788179114366,1.8426910451829788,1.71028012205239,4.984153370054334,3950.26
3.5002788179114366,1.8426910451829788,2.038085591436985,4.408091861745054,4433.35
3.5002788179114366,2.0030350983392213,1.71028012205239,4.408091861745054,4461.89
3.4504774296419085,2.0030350983392213,2.038085591436985,4.408091861745054,3328.76
3.4504774296419085,2.0030350983392213,1.71028012205239,4.408091861745054,4477.96
3.2904928721357445,1.917302375521007,2.406236100913177,4.694232735088787,4492.06
3.3187784257324098,2.4802097033297454,2.109048632764865,5.59707400766811,3576.98
3.3187784257324098,1.917302375521007,2.406236100913177,5.59707400766811,4240.56
3.3187784257324098,1.917302375521007,2.109048632764865,5.59707400766811,4464.35
3.9855275686334224,1.9222165794533574,1.2220119667674696,5.623503454031681,5148.2
3.9855275686334224,2.1524427336222356,1.2220119667674696,5.623503454031681,4540.99
3.9855275686334224,1.9222165794533574,1.572482599460525,5.623503454031681,6332.35
3.9855275686334224,2.1524427336222356,1.572482599460525,4.085909931530962,3595.71
3.7481827515497725,2.1524427336222356,1.2220119667674696,4.085909931530962,3354.95
3.7481827515497725,2.1524427336222356,1.572482599460525,4.085909931530962,3792.43
3.837439551853291,2.1678137538632187,1.9569913571848558,4.331989360226829,3937.33
3.663901129525918,2.3921118896171274,1.9569913571848558,4.331989360226829,2821.39
