,capcost,fdene,boundu(10),fimp(14),pseprmax,boundl(103),cboot,feffcd,etaiso,pinjalw,sig_tf_case_max,aspect,boundu(2),outlet_temp,beta,etanbi,etahtp
758,4925.8,1.04921875,1.62546875,3.7773437500000006e-05,33.76953125,1.022265625,1.401640625,0.8515625,0.87734375,53.3984375,676093750.0,1.93203125,4.09765625,817.609375,0.148125,0.5671875,0.83671875
759,4925.9,1.04921875,1.47078125,3.5664062500000004e-05,33.76953125,1.022265625,1.401640625,0.8515625,0.87734375,53.3984375,676093750.0,1.93203125,4.09765625,817.609375,0.148125,0.5671875,0.83671875
760,4927.0,1.04921875,1.47078125,3.7773437500000006e-05,22.63671875,1.022265625,1.401640625,0.8515625,0.87734375,53.3984375,676093750.0,1.93203125,4.09765625,817.609375,0.148125,0.5671875,0.83671875
761,4925.8,1.04921875,1.47078125,3.7773437500000006e-05,33.76953125,1.1488281249999999,1.401640625,0.8515625,0.87734375,53.3984375,676093750.0,1.93203125,4.09765625,817.609375,0.148125,0.5671875,0.83671875
762,4926.1,1.04921875,1.47078125,3.7773437500000006e-05,33.76953125,1.022265625,1.3992968749999999,0.8515625,0.87734375,53.3984375,676093750.0,1.93203125,4.09765625,817.609375,0.148125,0.5671875,0.83671875
763,4915.6,1.04921875,1.47078125,3.7773437500000006e-05,33.76953125,1.022265625,1.401640625,1.1984374999999998,0.87734375,53.3984375,676093750.0,1.93203125,4.09765625,817.609375,0.148125,0.5671875,0.83671875
764,4925.8,1.04921875,1.47078125,3.7773437500000006e-05,33.76953125,1.022265625,1.401640625,0.8515625,0.87109375,53.3984375,676093750.0,1.93203125,4.09765625,817.609375,0.148125,0.5671875,0.83671875
765,4917.6,1.04921875,1.47078125,3.7773437500000006e-05,33.76953125,1.022265625,1.401640625,0.8515625,0.87734375,52.1484375,676093750.0,1.93203125,4.09765625,817.609375,0.148125,0.5671875,0.83671875
766,4925.8,1.04921875,1.47078125,3.7773437500000006e-05,33.76953125,1.022265625,1.401640625,0.8515625,0.87734375,53.3984375,671406250.0,1.93203125,4.09765625,817.609375,0.148125,0.5671875,0.83671875
767,4792.0,1.04921875,1.47078125,3.7773437500000006e-05,33.76953125,1.022265625,1.401640625,0.8515625,0.87734375,53.3984375,676093750.0,1.98359375,4.09765625,817.609375,0.148125,0.5671875,0.83671875
768,4959.8,1.04921875,1.47078125,3.7773437500000006e-05,33.76953125,1.022265625,1.401640625,0.8515625,0.87734375,53.3984375,676093750.0,1.93203125,3.51171875,817.609375,0.148125,0.5671875,0.83671875
769,4879.4,1.04921875,1.47078125,3.7773437500000006e-05,33.76953125,1.022265625,1.401640625,0.8515625,0.87734375,53.3984375,676093750.0,1.93203125,4.09765625,892.609375,0.148125,0.5671875,0.83671875
770,4845.7,1.04921875,1.47078125,3.7773437500000006e-05,33.76953125,1.022265625,1.401640625,0.8515625,0.87734375,53.3984375,676093750.0,1.93203125,4.09765625,817.609375,0.178125,0.5671875,0.83671875
771,4978.9,1.04921875,1.47078125,3.7773437500000006e-05,33.76953125,1.022265625,1.401640625,0.8515625,0.87734375,53.3984375,676093750.0,1.93203125,4.09765625,817.609375,0.148125,0.3828125,0.83671875
772,4926.3,1.04921875,1.47078125,3.7773437500000006e-05,33.76953125,1.022265625,1.401640625,0.8515625,0.87734375,53.3984375,676093750.0,1.93203125,4.09765625,817.609375,0.148125,0.5671875,0.77265625
773,4706.9,0.98515625,1.62546875,3.5664062500000004e-05,22.63671875,1.1488281249999999,1.3992968749999999,1.1984374999999998,0.87109375,52.1484375,671406250.0,1.98359375,3.51171875,892.609375,0.178125,0.3828125,0.77265625
774,9815.7,0.94921875,1.57078125,8.27734375e-05,21.26953125,0.8722656249999999,1.351640625,1.0515625,0.77734375,48.3984375,736093750.0,1.83203125,3.59765625,967.609375,0.068125,0.3671875,0.9367187499999999
775,10259.0,0.88515625,1.57078125,8.27734375e-05,21.26953125,0.8722656249999999,1.351640625,1.0515625,0.77734375,48.3984375,736093750.0,1.83203125,3.59765625,967.609375,0.068125,0.3671875,0.9367187499999999
776,9815.7,0.94921875,1.52546875,8.27734375e-05,21.26953125,0.8722656249999999,1.351640625,1.0515625,0.77734375,48.3984375,736093750.0,1.83203125,3.59765625,967.609375,0.068125,0.3671875,0.9367187499999999
777,9819.5,0.94921875,1.57078125,8.06640625e-05,21.26953125,0.8722656249999999,1.351640625,1.0515625,0.77734375,48.3984375,736093750.0,1.83203125,3.59765625,967.609375,0.068125,0.3671875,0.9367187499999999
778,9667.8,0.94921875,1.57078125,8.27734375e-05,35.13671875,0.8722656249999999,1.351640625,1.0515625,0.77734375,48.3984375,736093750.0,1.83203125,3.59765625,967.609375,0.068125,0.3671875,0.9367187499999999
779,9815.7,0.94921875,1.57078125,8.27734375e-05,21.26953125,0.998828125,1.351640625,1.0515625,0.77734375,48.3984375,736093750.0,1.83203125,3.59765625,967.609375,0.068125,0.3671875,0.9367187499999999
780,9820.7,0.94921875,1.57078125,8.27734375e-05,21.26953125,0.8722656249999999,1.349296875,1.0515625,0.77734375,48.3984375,736093750.0,1.83203125,3.59765625,967.609375,0.068125,0.3671875,0.9367187499999999
781,9866.2,0.94921875,1.57078125,8.27734375e-05,21.26953125,0.8722656249999999,1.351640625,0.9984375,0.77734375,48.3984375,736093750.0,1.83203125,3.59765625,967.609375,0.068125,0.3671875,0.9367187499999999
782,9815.7,0.94921875,1.57078125,8.27734375e-05,21.26953125,0.8722656249999999,1.351640625,1.0515625,0.77109375,48.3984375,736093750.0,1.83203125,3.59765625,967.609375,0.068125,0.3671875,0.9367187499999999
