run,capcost,fdene,fimp(14),pseprmax,feffcd,aspect,boundu(2),outlet_temp,beta,etanbi
7127,5028.9,0.9337890625,5.4208984375000004e-05,35.6005859375,0.8191406250000001,1.8630859375,3.7080078125,959.11328125,0.16578125000000002,0.417578125
7128,5093.1,0.9337890625,5.4208984375000004e-05,35.6005859375,0.8191406250000001,1.8630859375,3.7080078125,1025.91015625,0.13578125,0.417578125
7129,5061.0,0.9337890625,5.4208984375000004e-05,35.6005859375,0.8191406250000001,1.8630859375,3.7080078125,1025.91015625,0.16578125000000002,0.280078125
7130,4880.7,0.9337890625,9.7451171875e-05,33.6962890625,0.962890625,1.9650390625,4.0771484375,959.11328125,0.13578125,0.280078125
7131,4888.7,0.8880859375,5.4208984375000004e-05,33.6962890625,0.962890625,1.9650390625,4.0771484375,959.11328125,0.13578125,0.280078125
7132,4886.3,0.8880859375,9.7451171875e-05,35.6005859375,0.962890625,1.9650390625,4.0771484375,959.11328125,0.13578125,0.280078125
7133,4892.8,0.8880859375,9.7451171875e-05,33.6962890625,0.8191406250000001,1.9650390625,4.0771484375,959.11328125,0.13578125,0.280078125
7134,5190.1,0.8880859375,9.7451171875e-05,33.6962890625,0.962890625,1.8630859375,4.0771484375,959.11328125,0.13578125,0.280078125
7135,5056.3,0.8880859375,9.7451171875e-05,33.6962890625,0.962890625,1.9650390625,3.7080078125,959.11328125,0.13578125,0.280078125
7136,4854.2,0.8880859375,9.7451171875e-05,33.6962890625,0.962890625,1.9650390625,4.0771484375,1025.91015625,0.13578125,0.280078125
7137,4796.5,0.8880859375,9.7451171875e-05,33.6962890625,0.962890625,1.9650390625,4.0771484375,959.11328125,0.16578125000000002,0.280078125
7138,4821.5,0.8880859375,9.7451171875e-05,33.6962890625,0.962890625,1.9650390625,4.0771484375,959.11328125,0.13578125,0.417578125
7139,4886.6,0.8880859375,9.7451171875e-05,33.6962890625,0.962890625,1.9650390625,4.0771484375,959.11328125,0.13578125,0.280078125
7142,6595.5,1.0337890625000001,5.2451171875e-05,23.1005859375,1.019140625,1.9630859375,4.2080078125,875.91015625,0.08578125,0.217578125
7145,6247.9,1.0337890625000001,9.9208984375e-05,23.1005859375,1.019140625,1.8650390625,4.2080078125,875.91015625,0.08578125,0.217578125
7150,15786.0,1.0337890625000001,5.2451171875e-05,21.1962890625,1.162890625,1.8650390625,3.5771484375,809.11328125,0.055781250000000004,0.48007812499999997
7151,16138.0,0.9880859375,9.9208984375e-05,21.1962890625,1.162890625,1.8650390625,3.5771484375,809.11328125,0.055781250000000004,0.48007812499999997
7152,16272.0,0.9880859375,5.2451171875e-05,23.1005859375,1.162890625,1.8650390625,3.5771484375,809.11328125,0.055781250000000004,0.48007812499999997
7153,16655.0,0.9880859375,5.2451171875e-05,21.1962890625,1.019140625,1.8650390625,3.5771484375,809.11328125,0.055781250000000004,0.48007812499999997
7154,18772.0,0.9880859375,5.2451171875e-05,21.1962890625,1.162890625,1.9630859375,3.5771484375,809.11328125,0.055781250000000004,0.48007812499999997
7155,9791.9,0.9880859375,5.2451171875e-05,21.1962890625,1.162890625,1.8650390625,4.2080078125,809.11328125,0.055781250000000004,0.48007812499999997
7156,14720.0,0.9880859375,5.2451171875e-05,21.1962890625,1.162890625,1.8650390625,3.5771484375,875.91015625,0.055781250000000004,0.48007812499999997
7157,8247.2,0.9880859375,5.2451171875e-05,21.1962890625,1.162890625,1.8650390625,3.5771484375,809.11328125,0.08578125,0.48007812499999997
7158,20450.0,0.9880859375,5.2451171875e-05,21.1962890625,1.162890625,1.8650390625,3.5771484375,809.11328125,0.055781250000000004,0.217578125
7159,16339.0,0.9880859375,5.2451171875e-05,21.1962890625,1.162890625,1.8650390625,3.5771484375,809.11328125,0.055781250000000004,0.48007812499999997
7160,10780.0,0.9837890625000001,3.1708984375e-05,41.8505859375,0.919140625,1.9130859375,4.4580078125,950.91015625,0.04578125,0.317578125
7161,10508.0,1.0380859375,3.1708984375e-05,41.8505859375,0.919140625,1.9130859375,4.4580078125,950.91015625,0.04578125,0.317578125
7162,10783.0,0.9837890625000001,2.9951171875000003e-05,41.8505859375,0.919140625,1.9130859375,4.4580078125,950.91015625,0.04578125,0.317578125
7165,10803.0,0.9837890625000001,3.1708984375e-05,41.8505859375,0.919140625,1.9150390625,4.4580078125,950.91015625,0.04578125,0.317578125
